transcript_id,cov,fpkm,tpm
STRG.321.2,43.523602,8.728479,5.683458
STRG.322.1,2.226615,0.446539,0.290759
STRG.322.2,1.645049,0.329908,0.214816
STRG.323.1,38.212891,7.663438,4.989968
STRG.323.2,2.968491,0.595319,0.387636
STRG.324.1,8.119927,1.628418,1.060328
STRG.325.1,52.596802,10.548073,6.868268
STRG.325.2,18.74297,3.758826,2.44752
STRG.326.1,2.111111,0.423375,0.275676
STRG.327.1,126.568039,25.3827,16.527681
STRG.328.1,5.081625,1.019099,0.663576
STRG.328.2,12.636969,2.534292,1.650178
STRG.328.3,2.478961,0.497145,0.323711
STRG.329.1,1.852975,0.371607,0.241968
STRG.330.1,5.919531,1.187138,0.772992
STRG.331.1,9.645298,1.934325,1.259516
STRG.332.1,2.28827,0.458903,0.29881
STRG.333.1,81.942551,16.433243,10.700335
STRG.334.1,1696.631104,340.252411,221.551804
STRG.334.2,10.566345,2.119037,1.379789
STRG.335.1,41.267597,8.276048,5.388862
STRG.335.2,21.469934,4.305707,2.803617
STRG.335.3,21.147011,4.240946,2.761448
STRG.336.1,19.074589,3.82533,2.490824
STRG.337.1,3.228947,0.647552,0.421647
STRG.338.1,2.140257,0.42922,0.279482
STRG.339.1,11.954259,2.397377,1.561028
STRG.340.1,184.332733,36.967171,24.070791
STRG.341.1,2.05798,0.412719,0.268738
STRG.341.2,1.849729,0.370956,0.241544
STRG.342.1,170.086136,34.110077,22.210421
STRG.343.1,23.439529,4.700702,3.060813
STRG.343.2,4.850988,0.972846,0.633458
STRG.343.3,1.749732,0.350902,0.228486
STRG.344.1,2.120879,0.425334,0.276952
STRG.345.1,4.565808,0.915654,0.596219
STRG.346.1,261.667816,52.476406,34.169468
STRG.347.1,2.918504,0.585294,0.381108
STRG.347.2,1.361249,0.272993,0.177756
STRG.348.1,8.879284,1.780704,1.159487
STRG.348.2,9.453641,1.895889,1.234488
STRG.348.3,337.973236,67.779144,44.133686
STRG.348.4,249.817825,50.099941,32.622055
STRG.348.5,35.94495,7.208612,4.693813
STRG.348.6,16.644123,3.33791,2.173446
STRG.348.7,4.261271,0.85458,0.556451
STRG.348.8,9.40936,1.887009,1.228706
STRG.348.9,7.800171,1.564292,1.018573
STRG.349.1,1.0,0.200546,0.130583
STRG.350.1,18.01882,3.6136,2.352958
STRG.351.1,2.869529,0.575472,0.374713
STRG.352.1,7.161133,1.436136,0.935125
STRG.353.1,3.152886,0.632298,0.411714
STRG.354.1,41.722794,8.367335,5.448303
STRG.354.2,22.816717,4.575799,2.979484
STRG.354.3,15.149053,3.03808,1.978215
STRG.354.4,7.647116,1.533598,0.998586
STRG.354.5,5.804533,1.164075,0.757976
STRG.354.6,4.103186,0.822877,0.535808
STRG.354.7,4.007578,0.803703,0.523323
STRG.354.8,2.326683,0.466607,0.303826
STRG.354.9,1.949632,0.390991,0.25459
STRG.354.10,1.077658,0.21612,0.140724
STRG.354.11,1.056635,0.211904,0.137979
STRG.355.1,22.396,4.491426,2.924545
STRG.356.1,18.59486,3.729123,2.42818
STRG.356.2,3.765302,0.755116,0.491686
STRG.356.3,1.076132,0.215814,0.140525
STRG.357.1,1.904255,0.381891,0.248664
STRG.358.1,168.785172,33.849171,22.040537
STRG.359.1,4.603673,0.923248,0.601163
STRG.359.2,4.392567,0.880911,0.573596
STRG.360.1,74.810455,15.002931,9.769002
STRG.360.2,15.619998,3.132526,2.039712
STRG.360.3,9.668031,1.938884,1.262484
STRG.360.4,6.241604,1.251728,0.81505
STRG.361.1,2.583605,0.518131,0.337376
STRG.362.1,12.316334,2.46999,1.608308
STRG.363.1,3.785359,0.759138,0.494305
STRG.363.2,2.405475,0.482408,0.314115
STRG.363.3,1.558781,0.312607,0.203551
STRG.364.1,417.065521,83.640778,54.461826
STRG.364.2,474.024689,95.063705,61.899746
STRG.364.3,2.868598,0.575286,0.374591
STRG.365.1,2.144844,0.43014,0.280081
STRG.366.1,123.231758,24.713623,16.092018
STRG.366.2,4.903471,0.983371,0.640312
STRG.366.3,1.940284,0.389116,0.253369
STRG.367.1,226.375092,45.398594,29.560823
STRG.367.2,1.825232,0.366043,0.238345
STRG.368.1,924.440125,185.39267,120.716515
STRG.369.1,1.928021,0.386657,0.251767
STRG.370.1,1.51061,0.302947,0.197261
STRG.371.1,4.369936,0.876373,0.570641
STRG.372.1,2.180581,0.437307,0.284748
STRG.373.1,1.498555,0.300529,0.195686
STRG.374.1,6.247086,1.252828,0.815766
STRG.375.1,26.601995,5.334921,3.473778
STRG.376.1,1.890295,0.379091,0.246841
STRG.377.1,153.911301,30.86628,20.098257
STRG.378.1,1.0,0.200546,0.130583
STRG.379.1,4.249523,0.852224,0.554917
STRG.380.1,1.0,0.200546,0.130583
STRG.381.1,2.040028,0.409119,0.266394
STRG.382.1,5.640877,1.131255,0.736605
STRG.383.1,85.527046,17.152098,11.16841
STRG.383.2,18.137629,3.637427,2.368473
STRG.383.3,1.860707,0.373157,0.242977
STRG.384.1,6.526365,1.308836,0.852235
STRG.385.1,11.929669,2.392446,1.557816
STRG.386.1,66.701256,13.376663,8.710075
STRG.387.1,2.383395,0.47798,0.311232
STRG.388.1,9.84678,1.974731,1.285826
STRG.388.2,4.825089,0.967652,0.630076
STRG.389.1,12.926036,2.592263,1.687925
STRG.390.1,3.44369,0.690618,0.449689
STRG.391.1,1.751148,0.351186,0.228671
STRG.392.1,10.033104,2.012098,1.310157
STRG.393.1,7.864686,1.577231,1.026997
STRG.393.2,1.194519,0.239556,0.155984
STRG.394.1,95.676949,19.18762,12.493819
